Country,Continent,Population,Day,Time,Cases,Deaths,Tests,Recovered,Case Fatality Rate
Afghanistan,Asia,40754388,6/30/2024,2024-06-30T16:15:12+00:00,234174,7996,1390730,226178,3.414554989
Albania,Europe,2866374,6/30/2024,2024-06-30T16:15:12+00:00,334863,3605,1941032,331258,1.076559668
Algeria,Africa,45350148,6/30/2024,2024-06-30T16:15:12+00:00,272010,6881,230960,265129,2.529686409
Andorra,Europe,77463,6/30/2024,2024-06-30T16:15:14+00:00,48015,165,249838,47850,0.343642612
Angola,Africa,35027343,6/30/2024,2024-06-30T16:15:13+00:00,107327,1937,1499795,105390,1.804764877
Anguilla,North-America,15230,6/30/2024,2024-06-30T16:15:15+00:00,3904,12,51382,3892,0.307377049
Antigua-and-Barbuda,North-America,99509,6/30/2024,2024-06-30T16:15:15+00:00,9106,146,18901,8960,1.603338458
Argentina,South-America,46010234,6/30/2024,2024-06-30T16:15:10+00:00,10128845,130841,35716069,9998004,1.291766238
Armenia,Asia,2971966,6/30/2024,2024-06-30T16:15:12+00:00,451831,8777,3242901,443054,1.942540463
Aruba,North-America,107609,6/30/2024,2024-06-30T16:15:14+00:00,44224,292,177885,43932,0.660274964
Australia,Oceania,26068792,6/30/2024,2024-06-30T16:15:10+00:00,11853144,24414,81916639,11828730,0.205970669
Austria,Europe,9066710,6/30/2024,2024-06-30T16:15:11+00:00,6081287,22542,211273524,6058745,0.370678115
Azerbaijan,Asia,10300205,6/30/2024,2024-06-30T16:15:12+00:00,835234,10400,7748050,824834,1.245160039
Bahamas,North-America,400516,6/30/2024,2024-06-30T16:15:14+00:00,38084,844,257839,37240,2.216153765
Bahrain,Asia,1783983,6/30/2024,2024-06-30T16:15:12+00:00,729549,1574,10948549,727975,0.21574973
Bangladesh,Asia,167885689,6/30/2024,2024-06-30T16:15:11+00:00,2049377,29493,15254399,2019884,1.439120279
Barbados,North-America,288023,6/30/2024,2024-06-30T16:15:13+00:00,110578,648,814159,109930,0.586011684
Belarus,Europe,9432800,6/30/2024,2024-06-30T16:15:12+00:00,994037,7118,13646641,986919,0.716069925
Belgium,Europe,11668278,6/30/2024,2024-06-30T16:15:11+00:00,4861695,34376,37454182,4827319,0.707078498
Belize,North-America,412190,6/30/2024,2024-06-30T16:15:13+00:00,71409,688,576016,70721,0.963463989
Benin,Africa,12784726,6/30/2024,2024-06-30T16:15:14+00:00,28036,163,604310,27873,0.581395349
Bermuda,North-America,61939,6/30/2024,2024-06-30T16:15:15+00:00,18860,165,1029558,18695,0.874867444
Bhutan,Asia,787941,6/30/2024,2024-06-30T16:15:14+00:00,62697,21,2303734,62676,0.033494426
Bolivia,South-America,11992656,6/30/2024,2024-06-30T16:15:11+00:00,1212131,22407,2710261,1189724,1.848562573
Bosnia-and-Herzegovina,Europe,3249317,6/30/2024,2024-06-30T16:15:12+00:00,403615,16388,1884721,387227,4.060304994
Botswana,Africa,2441162,6/30/2024,2024-06-30T16:15:12+00:00,330638,2801,2026898,327837,0.847150055
Brazil,South-America,215353593,6/30/2024,2024-06-30T16:15:10+00:00,38743918,711380,63776166,38032538,1.836107541
British-Virgin-Islands,North-America,30596,6/30/2024,2024-06-30T16:15:15+00:00,7392,64,107339,7328,0.865800866
